path,pid,channel,iosUrl,adrUrl,dltmpl,name
gui012.html,A,gui012,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui12.apk,default,
gui013.html,A,gui013,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui13.apk,default,
gui014.html,A,gui014,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui14.apk,default,
gui015.html,A,gui015,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui15.apk,default,
gui016.html,A,gui016,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui16.apk,default,
gui017.html,A,gui017,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui017.apk,default,
gui018.html,A,gui018,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui018.apk,default,
gui019.html,A,gui019,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui019.apk,default,
gui020.html,A,gui020,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui20.apk,default,
gui021.html,A,gui021,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/gui21.apk,default,
qingtian001.html,A,qingtian001,https://itunes.apple.com/cn/app/id1446246674,https://cvbn5.gz-gcec.com/apk/qingtian001.apk,default,
qingtian002.html,A,qingtian002,https://itunes.apple.com/cn/app/id1446246674,https://cvbn5.gz-gcec.com/apk/qingtian002.apk,default,
qingtian003.html,A,qingtian003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qingtian003.apk,default,
qian001.html,A,qian001,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian001.apk,default,
qian002.html,A,qian002,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian002.apk,default,
qian003.html,A,qian003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian003.apk,default,
qian004.html,A,qian004,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian004.apk,default,
qian005.html,A,qian005,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian005.apk,default,
qian006.html,A,qian006,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian006.apk,default,
qian007.html,A,qian007,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian007.apk,default,
qian008.html,A,qian008,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian008.apk,default,
qian009.html,A,qian009,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian009.apk,default,
qian010.html,A,qian010,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://cvbn5.gz-gcec.com/apk/qian010.apk,default,
qian011.html,A,qian011,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian011.apk,default,
qian012.html,A,qian012,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian012.apk,default,
qian013.html,A,qian013,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian013.apk,default,
qian014.html,A,qian014,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian014.apk,default,
qian015.html,A,qian015,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian015.apk,default,
qian016.html,A,qian016,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian016.apk,default,
qian017.html,A,qian017,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian017.apk,default,
qian018.html,A,qian018,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian018.apk,default,
qian019.html,A,qian019,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian019.apk,default,
qian020.html,A,qian020,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian020.apk,default,
qian021.html,A,qian021,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian021.apk,default,
qian022.html,A,qian022,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian022.apk,default,
qian023.html,A,qian023,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian023.apk,default,
qian024.html,A,qian024,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian024.apk,default,
qian025.html,A,qian025,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian025.apk,default,
qian026.html,A,qian026,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian026.apk,default,
qian027.html,A,qian027,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian027.apk,default,
qian028.html,A,qian028,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian028.apk,default,
qian029.html,A,qian029,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian029.apk,default,
qian030.html,A,qian030,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian030.apk,default,
qian031.html,A,qian031,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian031.apk,default,
qian032.html,A,qian032,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian032.apk,default,
qian033.html,A,qian033,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian033.apk,default,
qian034.html,A,qian034,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian034.apk,default,
qian035.html,A,qian035,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian035.apk,default,
qian036.html,A,qian036,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian036.apk,default,
qian037.html,A,qian037,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian037.apk,default,
qian038.html,A,qian038,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian038.apk,default,
qian039.html,A,qian039,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian039.apk,default,
qian040.html,A,qian040,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian040.apk,default,
qian041.html,A,qian041,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian041.apk,default,
qian042.html,A,qian042,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian042.apk,default,
qian043.html,A,qian043,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian043.apk,default,
qian044.html,A,qian044,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian044.apk,default,
qian045.html,A,qian045,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian045.apk,default,
qian046.html,A,qian046,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian046.apk,default,
qian1001.html,A,qian1001,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1001.apk,default,
qian1002.html,A,qian1002,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1002.apk,default,
qian1003.html,A,qian1003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1003.apk,default,
qian1004.html,A,qian1004,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1004.apk,default,
qian1005.html,A,qian1005,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1005.apk,default,
qian1006.html,A,qian1006,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1006.apk,default,
qian1007.html,A,qian1007,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1007.apk,default,
qian1008.html,A,qian1008,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1008.apk,default,
qian1009.html,A,qian1009,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1009.apk,default,
qian1010.html,A,qian1010,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1010.apk,default,
qian1011.html,A,qian1011,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1011.apk,default,
qian1012.html,A,qian1012,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1012.apk,default,
qian1013.html,A,qian1013,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1013.apk,default,
qian1014.html,A,qian1014,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1014.apk,default,
qian1015.html,A,qian1015,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1015.apk,default,
qian1016.html,A,qian1016,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1016.apk,default,
qian1017.html,A,qian1017,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1017.apk,default,
qian1018.html,A,qian1018,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1018.apk,default,
qian1019.html,A,qian1019,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1019.apk,default,
qian1020.html,A,qian1020,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian1020.apk,default,
qian2001.html,A,qian2001,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2001.apk,default,
qian2002.html,A,qian2002,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2002.apk,default,
qian2003.html,A,qian2003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2003.apk,default,
qian2004.html,A,qian2004,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2004.apk,default,
qian2005.html,A,qian2005,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2005.apk,default,
qian2006.html,A,qian2006,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2006.apk,default,
qian2007.html,A,qian2007,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2007.apk,default,
qian2008.html,A,qian2008,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2008.apk,default,
qian2009.html,A,qian2009,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2009.apk,default,
qian2010.html,A,qian2010,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2010.apk,default,
qian2011.html,A,qian2011,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2011.apk,default,
qian2012.html,A,qian2012,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2012.apk,default,
qian2013.html,A,qian2013,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2013.apk,default,
qian2014.html,A,qian2014,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2014.apk,default,
qian2015.html,A,qian2015,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2015.apk,default,
qian2016.html,A,qian2016,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2016.apk,default,
qian2017.html,A,qian2017,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2017.apk,default,
qian2018.html,A,qian2018,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2018.apk,default,
qian2019.html,A,qian2019,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2019.apk,default,
qian2020.html,A,qian2020,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian2020.apk,default,
qian3001.html,A,qian3001,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3001.apk,default,
qian3002.html,A,qian3002,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3002.apk,default,
qian3003.html,A,qian3003,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3003.apk,default,
qian3004.html,A,qian3004,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3004.apk,default,
qian3005.html,A,qian3005,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3005.apk,default,
qian3006.html,A,qian3006,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3006.apk,default,
qian3007.html,A,qian3007,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3007.apk,default,
qian3008.html,A,qian3008,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3008.apk,default,
qian3009.html,A,qian3009,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3009.apk,default,
qian3010.html,A,qian3010,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/qian3010.apk,default,
